artwork_id,display_name,artist_id
ARTIC-081be15c-8812-c174-eeb2-cf318a2e67cf,"Georges Seurat (French, 1859-1891)",Q34013
ARTIC-082213ea-4f06-7465-e241-dbae5cb13511,Mongolia,
ARTIC-084d1143-6073-96e5-433c-6a3bb83a1bbd,French,
ARTIC-086f1a92-1a07-1805-3321-d238009fcda0,Dutch; Delft,
ARTIC-0893821b-474d-c87c-b528-a059919089e7," Diego Velázquez (Spanish, 1599-1660)",Q297
ARTIC-08b2ede5-bf33-602a-f1eb-2e7510c1b3cd,"François Boucher (French, 1703–1770)",Q180932
ARTIC-08b38ff2-2659-2c0b-dba8-221e173f4fc3,"Thomas Doughty (American, 1793-1856)",Q284954
ARTIC-08da4ff3-3bf6-9bbd-230c-492382034f3d,"Vasily Kandinsky (Born Moscow (formerly Russian Empire, now Russia), 1866; died Neuilly-sur-Seine, France, 1944)",Q61064
ARTIC-08f4e45e-5b4b-993e-1d45-6f362c2ec43c,"Shibata Zeshin (Japanese, 1807-1891)",Q2386947
ARTIC-0905c8a0-b2f1-b534-fa37-0f1aa016bec5,"Emanuel de Witte (Dutch, c. 1617–1691/92)",Q711203
ARTIC-092be13d-bd52-6125-fe90-56ce21128ab9," Ansano Ciampanti (Italian, 1474–1532/1535)",Q97571259
ARTIC-0a991ed0-5816-1fbe-33d2-a12c384334ab,"Rubens, Peter Paul () (Flemish, 1577-1640)",Q5599
ARTIC-0aaa4cff-d1d8-8241-d230-0cecc9956f39,"Vergós workshop (Spanish, documented 1439-1503)",
ARTIC-0ace29f2-7bc1-714a-c364-12b57bcf8a93,"Jean-François Millet (French, 1814-1875)",Q148458
ARTIC-0ae5da56-ca9a-4e0f-5e9d-455c02a4f7d3,Iran,
ARTIC-0ae96019-6d7a-6c0e-0dcc-355f5be0d491,"Xugu 虛谷 (Chinese, 1824-1896)",Q3082969
ARTIC-0aff6ae5-99ae-d92c-1239-0bc9bb0ad9ae,"Jean-Baptiste-Camille Corot (French, 1796–1875)",Q148475
ARTIC-0b0b5c15-0633-376b-278e-2660f09b582a,"Giuseppe Maria Crespi (Italian, 1665–1747)",Q528620
ARTIC-0b5406ad-d98e-5148-2668-92ecf87a6900,"Yu Zhiding (禹之鼎, 1647-1709?), attributed (Chinese)",Q65832435
ARTIC-0b66bb30-3170-f7d1-543a-93e02ffe194f,"George Inness (American, 1825–1894)",Q704868
ARTIC-0b7a4670-30f1-1232-b53c-bddf1ebf3e8a,"Alexandre Calame (Swiss, 1810–1864)",Q621994
ARTIC-0ba00909-2927-68ce-5c4d-a7534d18c4f4,"Thomas Eakins (American, 1844–1916)",Q214905
ARTIC-0baa38e0-9256-ac80-80ca-a4c392e25a33," Zhou Zhimian (Chinese, active c. 1580-1610)",Q8071082
ARTIC-0bdf821c-9259-c0a0-268c-9ba8e42a2a2b,"Xia Chang (Chinese, 1388-1470)",Q1064977
ARTIC-0c43d8d7-c93b-cbea-b57c-22d2533ec007,Artist unknown (Chinese),
ARTIC-0c840df0-6d98-46d2-9828-b23ddcd34081,Flemish,
ARTIC-0cbe27e8-2fec-3445-bc48-ce40a8f2dc25,"Édouard Manet (French, 1832–1883)",Q40599
ARTIC-0ccbf8fe-3d94-b231-a6a8-018e67a42d77,"Follower of Veronese (Paolo Caliari; Italian, 1528–1588)",
ARTIC-0d52ff9e-13e6-06b2-2f37-7f1e661a7581,Japanese,
ARTIC-0da87889-35af-df93-2e73-3227ddc48749,"Jacob Eichholtz (American, 1776-1842)",Q6118567
ARTIC-0e4413fc-0977-c5c9-e593-2a9908650335,"Lan Ying (Chinese, 1585-c. 1664)",Q3138790
ARTIC-0e94a829-b3b7-8317-b609-d1826f0369f0,"Pierre-Auguste Renoir (French, 1841-1919)",Q39931
ARTIC-0eb3da5b-2ac6-f9a5-3d65-3e7468c33152,"Artist unknown (Japanese, 17th century)",
ARTIC-0eb5b4c2-517a-cd17-bca8-ff290e90059c,"Eugène Fromentin (French, 1820-1876)",Q353746
ARTIC-0f076222-52b2-9bb4-4409-72fdf485d895,"Alfred Sisley (French, 1839-1899)",Q175130
ARTIC-0f0cb874-bf5a-d31d-649a-6eb5c6074c5b,Korea,
ARTIC-0f16b763-7dd4-8c2f-3fde-321729f6c552,"Italian, Rome",
