,tag_id,artwork_id
5468,1,MET-1feb14da-3ef3-4b47-81ed-5d52224cab9e
10254,1,TCMA-40bfc511-5755-439f-9092-72df79437062
3615,1,NGA-c986c2b3-cb9f-4c57-a888-217eedc8330a
5467,1,MET-9dab8062-2430-45dd-b609-2d085e70e696
5471,1,MET-813b488a-5b06-4322-9bea-0dba3177adc6
11805,1,TCMA-4472a272-6462-4af0-825d-8b759b4d0dfd
2993,1,NGA-88f7bb0f-cba1-4ccd-ad9d-a230b73ac9d0
4499,1,MET-41b4969b-eab4-4c77-a338-8e4432d23af1
3008,1,NGA-8aeb8bcf-ab4e-41d9-85f9-ab09fa7ec8e8
5450,1,MET-f1f738d1-e9db-4da4-b234-27da4d77325e
1391,1,ARTIC-ce5e37ef-7bea-d929-efb6-756e5c10de7f
10314,1,TCMA-f6e12812-9686-4da7-8bd0-36f87beece36
11793,1,TCMA-e06305d6-1e82-4976-9db2-89193e17a9c6
5451,1,MET-a514dfcf-0d50-41f8-82c2-ef1a0011a25a
10311,1,TCMA-8cd29cfb-1c8d-4887-af81-dfa902d02bd6
3604,1,NGA-c835e6ed-d7c4-4f86-aea9-5eaf06b09818
11794,1,TCMA-8a7ef847-da85-44ec-8e4e-3df87e53d356
5452,1,MET-3ea8b0aa-0376-43a2-9b85-1b8198070846
425,1,ARTIC-3c27b499-af56-f0d5-93b5-a7f2f1ad5813
3006,1,NGA-8abd9a6d-3b2f-4c4f-8afd-6dc55fb69834
10306,1,TCMA-5079681e-2aa7-4c66-82ea-5fa60669d55d
6020,1,MET-2208fbc0-153b-4bea-aa18-7219c86cdf78
11795,1,TCMA-9af55020-efb8-41fb-b3c0-ca59d62b43dc
1397,1,ARTIC-cfb93975-cf1f-ccf9-9169-f318ff3d5584
4095,1,NGA-fcb4b064-c44a-44b6-a95f-4066903f1386
11796,1,TCMA-14b77ddd-cf26-4ca3-8c95-68d5ddaa8ed6
10315,1,TCMA-1483f837-ef1a-4ffb-a2c5-71d30ccbcc4f
5453,1,MET-04ff15ea-5fe9-4701-89ed-5861f8159073
1390,1,ARTIC-ce26526c-dcc1-8967-05f8-bf74fa8d7eb8
5449,1,MET-1e91ca26-9985-49c2-ba42-ab29920d0aaa
