artist_id,display_name,birth_year,death_year,nationality
TCMA-2184,"Francesco Granacci (Italian, 1469–1543)",1469,1543,Italian
TCMA-60227,"Elisabeth Louise Vigée-LeBrun (French, 1755–1842)",1755,1842,French
TCMA-1927,"Jean-Baptiste Pater (French, 1695–1736)",1695,1736,French
TCMA-2400,"Bartolomé Esteban Murillo (Spanish, 1617–1682)",1617,1682,Spanish
TCMA-2085,"Caterino Veneziano (Italian, active 1362–82)",None,None,Italian
TCMA-4391,"Max Bohm (American, 1868–1923)",1868,1923,American
TCMA-1896,"Jean-Siméon Chardin (French, 1699–1779)",1699,1779,French
TCMA-1257,"William Blake (British, 1757–1827)",1757,1827,British
TCMA-37755,"Ge Shuying (Chinese, active 1300s)",None,None,Chinese
TCMA-1862,"Henri Fantin-Latour (French, 1836–1904)",1836,1904,French
TCMA-295457,"Yi Taek-gyun (Korean, 1808-after 1883)",1808,1883,Korean
TCMA-2780,"Frederick Sandys (British, 1829–1904)",1829,1904,British
TCMA-22778,"Zhang Wo (Chinese, active c.1336–after 1364)",None,1369,Chinese
TCMA-2043,"Neri de Bicci (Italian, 1419–1491)",1419,1491,Italian
TCMA-62778,"Fra Angelico (Italian, 1400–1455)",1400,1455,Italian
TCMA-2032,"Berlinghiero (Italian, before 1242)",None,1242,Italian
TCMA-2050,"Andrea da Firenze (Italian, 1379)",None,1379,Italian
TCMA-17277,"Du Jin (Chinese, 1446-c. 1519)",1446,1524,Chinese
TCMA-1694,"Jean-Léon Gérôme (French, 1824–1904)",1824,1904,French
TCMA-320781,"Louis Hayet (French, 1864–1940)",1864,1940,French
TCMA-2215,"Alessandro Magnasco (Italian, 1667–1749)",1667,1749,Italian
TCMA-2307,"Jacopo del Sellaio (Italian, c. 1441–1493)",1441,1493,Italian
TCMA-22133,"Dong Qichang (Chinese, 1555–1636)",1555,1636,Chinese
TCMA-2365,"Tanzio da Varallo (Italian, c. 1575/80–1635)",1575,1635,Italian
TCMA-6306,"Bada Shanren (Chinese, 1626–1705)",1626,1705,Chinese
TCMA-46405,"Laurent Girardin (French, 1478)",None,1478,French
TCMA-1706,"Antoine-Jean Gros (French, 1771–1835)",1771,1835,French
TCMA-1955,"Hubert Robert (French, 1733–1808)",1733,1808,French
